instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_daily,atemp,hum_daily,windspeed_daily,casual,registered,cnt_daily,cnt_hourly,temp_hourly,hum_hourly,windspeed_hourly
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,985,0.3441666666666667,0.8058333333333333,0.16044583333333332
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,801,0.3634782608695652,0.696086956521739,0.24853913043478262
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,1349,0.19636363636363638,0.43727272727272726,0.2483090909090909
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,1562,0.19999999999999998,0.5904347826086956,0.16029565217391303
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,1600,0.22695652173913042,0.43695652173913047,0.1869
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,1606,0.20434782608695654,0.5182608695652174,0.08956521739130435
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,1510,0.1965217391304348,0.498695652173913,0.16872608695652175
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,959,0.165,0.5358333333333333,0.2668041666666667
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,822,0.13833333333333334,0.43416666666666665,0.36195
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,1321,0.15083333333333335,0.48291666666666666,0.2232666666666667
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,1263,0.1690909090909091,0.6863636363636364,0.12213181818181819
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,1162,0.17272727272727273,0.5995454545454545,0.30462727272727275
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,1406,0.165,0.47041666666666665,0.301
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,1421,0.16086956521739132,0.5378260869565217,0.12654782608695653
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,1248,0.2333333333333333,0.49875,0.1579625
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,1204,0.2316666666666667,0.48374999999999996,0.18843333333333334
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,1000,0.1758333333333333,0.5375,0.19401666666666664
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,683,0.21666666666666667,0.8616666666666667,0.14677500000000002
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,1650,0.29217391304347823,0.7417391304347826,0.20831739130434782
20,2011-01-20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,1927,0.26166666666666666,0.5383333333333333,0.19590416666666666
21,2011-01-21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,1543,0.1775,0.45708333333333334,0.3532416666666667
22,2011-01-22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,981,0.0591304347826087,0.39999999999999997,0.1719695652173913
23,2011-01-23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,986,0.0965217391304348,0.43652173913043474,0.2466
24,2011-01-24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,1416,0.0973913043478261,0.4917391304347826,0.1583304347826087
25,2011-01-25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,1985,0.2234782608695652,0.6169565217391304,0.12979565217391303
26,2011-01-26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,506,0.2175,0.8625,0.29385
27,2011-01-27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,431,0.195,0.6875,0.11383750000000001
28,2011-01-28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,1167,0.2034782608695652,0.7930434782608696,0.1233
29,2011-01-29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,1098,0.19652173913043477,0.6517391304347826,0.14536521739130434
30,2011-01-30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,1096,0.2165217391304348,0.7221739130434782,0.07398260869565218
31,2011-01-31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,1501,0.18083333333333332,0.60375,0.18719166666666667
32,2011-02-01,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,1360,0.19217391304347825,0.8295652173913044,0.05321304347826087
33,2011-02-02,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,1526,0.26,0.7754166666666666,0.2643083333333333
34,2011-02-03,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,1550,0.18695652173913044,0.43782608695652175,0.27775217391304347
35,2011-02-04,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,1708,0.21130434782608698,0.5852173913043479,0.12783913043478262
36,2011-02-05,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,1005,0.2333333333333333,0.9291666666666667,0.16107916666666666
37,2011-02-06,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,1623,0.28583333333333333,0.5683333333333334,0.1418
38,2011-02-07,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,1712,0.27166666666666667,0.7383333333333333,0.045408333333333335
39,2011-02-08,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,1530,0.22083333333333333,0.5379166666666667,0.36195
40,2011-02-09,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,1605,0.13478260869565217,0.4947826086956522,0.18883913043478262
41,2011-02-10,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,1538,0.14434782608695654,0.4373913043478261,0.22193478260869565
42,2011-02-11,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,1746,0.1890909090909091,0.5063636363636363,0.10855000000000001
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,1472,0.2225,0.5441666666666667,0.20336666666666667
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,1589,0.3165217391304348,0.45739130434782604,0.26088260869565216
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,1913,0.41500000000000004,0.3758333333333333,0.4179083333333333
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,1815,0.26608695652173914,0.31434782608695655,0.29137391304347826
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,2115,0.31826086956521743,0.42347826086956525,0.2517913043478261
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,2475,0.43583333333333335,0.505,0.23010416666666667
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,2927,0.5216666666666666,0.5166666666666667,0.264925
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,1635,0.39916666666666667,0.18791666666666665,0.5074625
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,1812,0.28521739130434787,0.40782608695652167,0.22323478260869567
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,1107,0.30333333333333334,0.605,0.3078458333333333
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,1450,0.18222222222222223,0.5777777777777778,0.19568333333333332
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,1917,0.2217391304347826,0.4230434782608696,0.09411304347826087
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,1807,0.2956521739130435,0.697391304347826,0.25049565217391306
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,1461,0.36434782608695654,0.7121739130434782,0.34653913043478257
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,1969,0.28250000000000003,0.5379166666666667,0.18657083333333335
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,2402,0.34347826086956523,0.68,0.12524782608695653
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,1446,0.4072727272727273,0.8763636363636365,0.28968636363636363
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,1851,0.26666666666666666,0.535,0.216425
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,2134,0.335,0.4495833333333333,0.30783333333333335
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,1685,0.19833333333333333,0.3183333333333333,0.22575416666666667
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,1944,0.26166666666666666,0.6104166666666667,0.20334583333333334
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,2077,0.3841666666666667,0.7891666666666667,0.2518708333333333
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,605,0.3765217391304348,0.9482608695652174,0.34328695652173913
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,1872,0.26173913043478264,0.551304347826087,0.34135217391304346
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,2133,0.2925,0.42083333333333334,0.12065
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,1891,0.29583333333333334,0.7754166666666666,0.22014999999999998
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,623,0.3890909090909091,0.0,0.26187727272727274
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,1977,0.3165217391304348,0.6495652173913044,0.2329695652173913
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,2132,0.32916666666666666,0.5945833333333334,0.22077500000000003
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,2417,0.3843478260869565,0.5273913043478261,0.270604347826087
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,2046,0.32521739130434785,0.4969565217391304,0.13692608695652173
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,2056,0.3173913043478261,0.6556521739130435,0.18430869565217395
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,2192,0.3652173913043478,0.7765217391304348,0.2031173913043478
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,2744,0.41500000000000004,0.6029166666666667,0.20957916666666665
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,3239,0.54,0.5252173913043479,0.2310173913043478
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,3117,0.4725,0.37916666666666665,0.3681666666666667
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,2471,0.3325,0.47375000000000006,0.20772083333333335
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,2077,0.43043478260869567,0.7373913043478261,0.2887826086956522
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,2703,0.44166666666666665,0.6245833333333334,0.22575
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,2121,0.34695652173913044,0.8395652173913043,0.23426086956521738
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,1865,0.285,0.8058333333333333,0.24378750000000002
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,2210,0.26416666666666666,0.49499999999999994,0.23072499999999999
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,2496,0.2658333333333333,0.3941666666666667,0.20957083333333335
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,1693,0.2530434782608696,0.49391304347826087,0.1843
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,2028,0.2643478260869565,0.3021739130434783,0.21220434782608696
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,2425,0.3025,0.31416666666666665,0.2269958333333333
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,1536,0.3,0.6466666666666666,0.1728875
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,1685,0.26833333333333337,0.9183333333333333,0.21764583333333332
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,2227,0.3,0.6862499999999999,0.2587083333333334
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,2252,0.315,0.6537499999999999,0.19714583333333335
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,3249,0.37833333333333335,0.48,0.1822125
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,3115,0.5733333333333334,0.42625,0.38557083333333336
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,1795,0.4141666666666666,0.6420833333333333,0.3880666666666666
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,2808,0.39083333333333337,0.47083333333333327,0.26306250000000003
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,3141,0.4375,0.6029166666666667,0.1623125
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,1471,0.3358333333333334,0.83625,0.22699166666666667
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,2455,0.3425,0.8775,0.13308333333333333
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,2895,0.4266666666666667,0.8574999999999999,0.14676666666666668
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,3348,0.5956521739130435,0.7169565217391304,0.3244739130434783
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,2034,0.5025000000000001,0.7391666666666666,0.2748791666666667
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,2162,0.41250000000000003,0.8191666666666667,0.25061666666666665
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,3267,0.4675,0.5404166666666667,0.1107
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,3126,0.4466666666666667,0.67125,0.226375
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,795,0.43083333333333335,0.8883333333333333,0.3408083333333333
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,3744,0.4566666666666667,0.4795833333333333,0.30349583333333335
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,3429,0.5125000000000001,0.5425,0.16356666666666667
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,3204,0.5058333333333334,0.6658333333333334,0.15797083333333334
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,3944,0.595,0.6141666666666666,0.24192500000000003
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,4189,0.45916666666666667,0.4070833333333333,0.32525833333333337
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,1683,0.33666666666666667,0.7295833333333334,0.2195208333333333
